player_name,Team within selected timeframe,role_2,involvement,active_defence,intelligent_defence,territorial_dominance,chance_prevention,defensive_heading,aerial_threat,composure,progression
Léo,Vasco da Gama,DEFENCE,-0.36,-1.04,-1.05,-1.32,-0.69,-0.84,-1.04,0.75,0.08
Robson Bambu,Vasco da Gama,DEFENCE,0.67,-0.1,-0.21,-0.48,0.0,0.22,-0.75,0.33,0.28
Jair,Santos,DEFENCE,1.05,0.82,-0.09,0.24,-0.1,-1.28,-0.2,-0.33,1.56
Murilo,Palmeiras,DEFENCE,-0.21,0.11,0.02,0.04,0.01,-0.65,-0.59,-0.02,-0.41
Gustavo Gómez,Palmeiras,DEFENCE,0.36,0.23,0.15,0.34,0.49,0.73,1.53,-0.16,-0.02
Luan,Palmeiras,DEFENCE,0.04,-0.17,-0.03,-0.12,0.27,0.53,0.33,-0.07,0.55
Lucas Oliveira,Cruzeiro,DEFENCE,0.43,-0.26,0.26,-0.47,-0.52,1.13,0.12,0.31,1.39
Luciano Castán,Cruzeiro,DEFENCE,-0.12,-0.57,-0.13,-0.64,0.16,0.54,0.41,-0.03,-0.25
Marlon,Fluminense,DEFENCE,0.73,1.37,1.8,0.33,0.06,-1.56,-0.93,0.01,1.72
Neris,Cruzeiro,DEFENCE,-0.08,0.47,0.2,0.35,-0.2,-0.04,0.51,-0.19,0.69
Walter Kannemann,Grêmio,DEFENCE,-0.39,0.9,0.87,0.44,-0.06,0.69,0.16,0.34,-0.85
Bruno Alves,Grêmio,DEFENCE,-1.2,-0.78,-0.6,-0.04,-0.25,-0.17,-0.53,-0.16,-1.28
Bruno Uvini,Grêmio,DEFENCE,-1.05,-0.78,-0.56,-0.49,0.05,-0.65,0.86,-1.28,-0.97
David Duarte,Bahia,DEFENCE,-0.27,-0.62,-0.52,-0.53,-0.02,-0.53,0.03,-0.18,-0.88
Kanu,Bahia,DEFENCE,0.12,0.52,0.19,1.26,0.95,-0.71,-0.12,0.18,-0.5
Rezende,Bahia,DEFENCE,0.24,1.63,1.1,2.71,0.51,-0.47,-0.34,0.0,-0.21
Vitor Hugo,Bahia,DEFENCE,-0.66,0.59,-0.11,-0.01,-0.17,0.54,0.33,-0.28,-0.24
Gabriel Xavier,Bahia,DEFENCE,0.22,0.84,1.94,1.25,0.08,1.19,1.34,0.43,-0.29
Igor Gomes,Internacional,DEFENCE,1.17,0.94,0.55,0.95,-0.32,-1.09,-0.88,0.07,1.85
Gabriel Mercado,Internacional,DEFENCE,-0.63,-0.61,0.08,-0.35,-0.18,-0.39,-0.56,0.28,-1.12
Vitão,Cuiabá,DEFENCE,-0.21,-1.15,-0.82,-0.38,-0.23,-0.19,0.07,-0.09,-0.17
Pedro Henrique,Athletico Paranaense,DEFENCE,-0.74,0.07,-1.13,-0.22,-0.36,-1.43,1.31,-2.06,0.76
Wanderson,América Mineiro,DEFENCE,-0.87,-0.78,-1.4,-0.97,-0.22,-2.06,-1.62,-1.26,0.6
Nicolás Hernández,Internacional,DEFENCE,-0.3,-0.9,-0.31,-0.54,-0.55,-0.7,-1.01,0.11,0.21
