player_name,Team within selected timeframe,role_2,involvement,active_defence,intelligent_defence,territorial_dominance,chance_prevention,progression,passing_quality,run_quality,providing_teammates
José Rodríguez,Vasco da Gama,R/L BACK,0.32,-0.06,0.15,-0.7,-0.36,1.14,1.1,0.14,0.77
Lucas Piton,Vasco da Gama,R/L BACK,-0.48,-0.6,-0.11,-0.89,-0.49,-0.41,0.11,-0.21,-0.4
Paulo Henrique,Vasco da Gama,R/L BACK,0.6,0.95,0.06,-0.12,-0.25,1.14,1.07,-0.09,0.63
Joaquín Piquerez,Palmeiras,R/L BACK,-0.25,0.12,-0.01,-0.36,0.12,-0.54,-0.2,-0.44,-0.44
Vanderlan,Palmeiras,R/L BACK,-0.94,0.59,-0.44,-0.71,-0.5,-1.14,-0.96,-0.3,-0.51
Marcos Rocha,Palmeiras,R/L BACK,1.13,0.36,0.43,-0.11,0.23,2.5,1.65,0.67,0.45
William,Cruzeiro,R/L BACK,0.36,0.36,0.97,0.92,0.43,1.4,1.08,0.16,0.6
Gilberto,Bahia,R/L BACK,-1.76,-1.08,-1.44,-1.25,-0.32,-1.68,-1.5,0.35,0.32
Wesley,Grêmio,R/L BACK,-0.31,-0.17,-0.97,0.26,0.53,-0.07,-0.32,1.32,0.44
João Pedro,Grêmio,R/L BACK,-0.14,-1.03,-0.6,-0.21,0.28,0.82,0.34,-0.18,0.39
Diogo Barbosa,Fluminense,R/L BACK,-0.51,-0.93,-0.03,-0.64,-0.48,-0.79,-0.57,-0.05,-0.61
Vítor Jacaré,Bahia,R/L BACK,0.15,0.31,0.09,0.21,0.01,1.08,0.67,0.87,0.57
Renê,Internacional,R/L BACK,1.21,0.53,0.46,0.35,-0.04,0.51,0.07,-0.14,-0.38
Ayrton Lucas,Flamengo,R/L BACK,0.32,0.42,0.31,0.32,0.5,-0.63,-0.39,0.12,-0.54
Natanael,Coritiba,R/L BACK,0.3,0.56,-0.02,1.09,0.34,0.21,0.19,0.21,0.34
Jamerson,Coritiba,R/L BACK,-0.12,0.33,-0.44,-0.67,-0.25,-0.76,-0.71,-0.64,-0.75
Victor Luís,Coritiba,R/L BACK,-0.19,-0.03,-0.05,-0.82,0.04,-0.42,-0.58,-0.72,-0.4
Tinga,Fortaleza,R/L BACK,0.54,-0.36,-0.09,0.97,0.82,0.85,0.61,0.19,0.35
Bruno Pacheco,Fortaleza,R/L BACK,-0.23,0.14,-0.21,0.22,0.09,-0.6,-0.85,-0.69,-0.54
Guilherme,Red Bull Bragantino,R/L BACK,-0.32,-1.06,-1.37,-0.12,0.63,-0.22,-0.02,1.56,0.65
Samuel Xavier,Fluminense,R/L BACK,-0.05,-0.25,0.16,0.84,0.07,-0.18,-0.05,0.03,0.56
