player_name,Team within selected timeframe,role_2,involvement,active_defence,intelligent_defence,progression,passing_quality,effectiveness,providing_teammates,box_threat
Marlon Gomes,Vasco da Gama,MIDFIELDER,0.5,2.27,1.15,-0.63,-0.6,0.39,0.11,0.07
Zé Rafael,Palmeiras,MIDFIELDER,-0.04,1.26,0.46,-0.66,-0.79,-0.06,-0.74,-0.34
Richard Ríos,Palmeiras,MIDFIELDER,-0.31,0.47,-0.0,-0.65,-0.58,0.08,-0.18,-0.25
Gabriel Menino,Palmeiras,MIDFIELDER,0.88,0.63,0.79,1.27,1.07,0.23,0.01,0.13
Dudu,Athletico Paranaense,MIDFIELDER,-0.56,-1.11,-1.05,0.44,0.36,0.87,0.35,2.21
Mateus Vital,Cruzeiro,MIDFIELDER,-0.58,-1.42,-0.81,-0.32,-0.04,-0.24,-0.17,0.15
Filipe Machado,Cruzeiro,MIDFIELDER,-0.42,-0.13,0.12,-0.12,-0.19,-0.39,-0.57,-0.29
Matheus Jussa,Cruzeiro,MIDFIELDER,-1.02,0.24,-0.01,-0.82,-0.97,-0.74,-0.76,-0.7
Lucas Silva,Cruzeiro,MIDFIELDER,0.75,0.27,-0.58,0.81,0.92,0.06,-0.07,-0.42
Franco Cristaldo,Grêmio,MIDFIELDER,0.69,-1.7,-0.95,1.11,1.4,0.03,0.92,1.59
Thaciano,Bahia,MIDFIELDER,-1.03,-0.67,-0.57,-1.07,-1.01,0.09,-0.13,0.47
Nicolás Acevedo,Bahia,MIDFIELDER,0.85,1.46,0.89,-0.2,-0.14,0.31,-0.06,-0.62
Cauly,Bahia,MIDFIELDER,-0.09,-1.5,-0.98,1.56,1.36,1.34,0.98,1.45
Yago Felipe,Bahia,MIDFIELDER,-0.51,0.59,0.39,-0.89,-0.71,-0.59,-0.27,-0.84
Johnny Cardoso,Internacional,MIDFIELDER,-0.02,0.59,0.96,-0.88,-0.71,-0.15,-0.43,-0.48
Alan Patrick,Internacional,MIDFIELDER,-0.34,-1.27,-1.11,0.67,0.59,0.49,0.98,0.78
Carlos de Pena,Internacional,MIDFIELDER,-0.75,-0.75,0.15,-0.35,-0.38,-0.35,-0.06,0.05
Rômulo,Internacional,MIDFIELDER,-0.36,-0.36,0.8,-0.61,-0.61,-0.24,-0.12,-0.26
Thiago Maia,Flamengo,MIDFIELDER,0.14,0.61,1.12,-0.38,-0.35,-0.66,-1.01,-0.96
Gerson,Flamengo,MIDFIELDER,-0.07,-0.11,-0.16,-0.22,0.13,0.07,0.1,0.83
Victor Hugo,Flamengo,MIDFIELDER,-0.27,-0.25,-0.1,0.07,0.02,-0.34,-0.23,-0.24
Bruno Gomes,Coritiba,MIDFIELDER,-0.09,-0.32,-0.08,0.28,-0.09,0.29,0.18,0.35
Andrey,Coritiba,MIDFIELDER,1.19,0.77,0.42,0.14,0.36,-0.51,0.16,-0.45
Willian Farias,Coritiba,MIDFIELDER,-0.34,-0.34,0.04,-0.93,-0.8,-0.45,-0.61,-1.01
Caio Alexandre,Fortaleza,MIDFIELDER,1.18,-0.16,-0.26,1.16,1.25,0.38,-0.04,-0.38
Tomás Pochettino,Fortaleza,MIDFIELDER,-0.61,-0.95,-0.26,0.64,0.5,0.28,0.84,0.36
Lucas Sasha,Fortaleza,MIDFIELDER,0.37,2.6,1.79,-0.45,-0.33,0.14,-0.35,-0.44
Zé Welison,Fortaleza,MIDFIELDER,0.44,0.76,0.11,-0.1,0.01,-0.13,-0.09,-0.3
Alexsander,Fluminense,MIDFIELDER,0.16,0.89,1.35,-0.6,-0.15,0.05,-0.4,-0.52
Lima,Fluminense,MIDFIELDER,0.24,0.13,0.19,-0.51,-0.18,0.25,0.3,0.15
Ganso,Fluminense,MIDFIELDER,-0.11,-0.8,-0.23,1.14,0.96,0.1,0.61,0.26
Fernandinho,Athletico Paranaense,MIDFIELDER,0.5,0.17,-0.11,0.93,0.49,-0.2,0.22,-0.87
