player_name,Team within selected timeframe,role_2,involvement,pressing,aerial_threat,hold-up_play,run_quality,providing_teammates,finishing,poaching
Pedro Raúl,Vasco da Gama,STRIKER,-0.34,-0.53,0.97,-0.42,-0.62,-0.26,-0.12,0.59
Alex Teixeira,Vasco da Gama,STRIKER,-0.08,-0.3,-0.21,0.15,0.04,-0.3,-1.58,-0.14
Endrick,Palmeiras,STRIKER,-0.17,0.26,-1.06,-0.66,0.62,-0.08,1.83,0.45
Bruno Rodrigues,Cruzeiro,STRIKER,0.32,0.1,-0.75,0.06,0.35,0.04,-0.52,-0.53
Luis Suárez,Grêmio,STRIKER,0.2,-0.83,-0.41,0.59,1.6,1.03,1.15,0.65
Everaldo,Bahia,STRIKER,-0.58,-0.83,1.38,-0.24,-0.15,-0.24,0.19,-0.17
Luiz Adriano,Internacional,STRIKER,-0.87,-0.22,-0.0,-0.25,-0.8,-0.69,-0.7,0.27
Gabriel Barbosa,Flamengo,STRIKER,-0.74,-0.77,-1.57,-0.13,0.1,-0.19,-1.89,0.42
Pedro,Flamengo,STRIKER,-0.93,-0.14,-0.7,-0.57,-0.46,-0.3,0.09,0.54
Alef Manga,Coritiba,STRIKER,-0.0,-0.52,0.04,0.5,0.69,0.68,0.48,-0.61
Germán Cano,Fluminense,STRIKER,-1.1,-0.22,-1.15,-0.51,-0.74,-0.36,0.14,0.79
John Kennedy,Fluminense,STRIKER,-0.29,0.77,0.17,-0.27,0.67,-0.15,-0.03,0.45
Lelê,Fluminense,STRIKER,-0.24,1.19,-0.17,-0.91,0.1,-0.17,-1.08,0.12
Vitor Roque,Athletico Paranaense,STRIKER,-0.22,-0.01,-0.43,-0.54,0.38,0.1,2.22,1.25
Felipe Azevedo,América Mineiro,STRIKER,0.36,-0.31,-0.23,0.02,0.15,0.05,-0.04,-0.82
Gonzalo Mastriani,América Mineiro,STRIKER,-0.74,-1.2,1.17,-0.4,-0.25,0.12,0.96,1.84
Tiquinho Soares,Botafogo,STRIKER,0.13,0.07,1.13,0.26,-0.48,-0.1,1.14,0.14
Deyverson,Cuiabá,STRIKER,-0.19,-0.77,1.79,-0.19,-0.38,-0.32,0.39,0.1
Isidro Pitta,Cuiabá,STRIKER,-0.26,-0.81,0.66,0.07,-0.17,-0.2,0.25,-0.54
Eduardo Sasha,Red Bull Bragantino,STRIKER,-0.07,0.31,0.21,-0.09,-0.26,-0.2,0.07,-0.05
Thiago Borbas,Red Bull Bragantino,STRIKER,-0.43,1.27,0.7,-0.38,-0.25,-0.14,0.64,0.76
Marcos Leonardo,Santos,STRIKER,-0.69,-1.25,-0.53,-0.52,0.27,-0.0,0.08,0.53
Yeferson Soteldo,Santos,STRIKER,1.22,-0.12,-1.67,0.46,1.21,0.91,-0.87,-1.16
Martín Benítez,América Mineiro,STRIKER,1.26,0.45,-1.45,0.49,0.55,0.88,-0.17,-0.73
Rony,Palmeiras,STRIKER,-0.88,-0.82,-0.16,-0.64,-0.23,-0.28,-0.4,0.22
Róger Guedes,Corinthians,STRIKER,0.24,-0.88,0.43,0.91,1.5,0.07,1.02,-0.54
Yuri Alberto,Corinthians,STRIKER,-0.28,-0.19,0.18,-0.0,-0.24,-0.16,-0.53,0.61
Jonathan Calleri,São Paulo,STRIKER,-0.42,0.78,1.03,-0.51,-0.65,-0.09,0.47,1.16
Juan,São Paulo,STRIKER,0.02,0.82,-0.9,-0.66,0.09,-0.37,-1.24,-0.83
Matheus Peixoto,Goiás,STRIKER,-0.56,-0.35,0.75,-0.27,-1.06,-0.54,-1.14,-0.07
Hulk,Atlético Mineiro,STRIKER,0.58,0.41,-0.34,-0.01,0.4,0.5,0.3,-0.3
Juan Lucero,Fortaleza,STRIKER,-0.89,-1.08,-0.48,-0.62,-0.13,-0.3,-0.09,-0.28
Thiago Galhardo,Fortaleza,STRIKER,-0.04,-0.77,0.24,-0.11,-0.15,0.14,-1.05,0.36
João Magno,Goiás,STRIKER,-0.11,-0.71,1.32,-0.65,-0.14,-0.15,0.31,-0.37
Matheus Babi,Goiás,STRIKER,-0.04,-0.19,1.61,-0.23,-0.07,0.01,0.42,0.05
Pablo Vegetti,Vasco da Gama,STRIKER,-0.28,-0.54,2.13,-0.43,-0.69,0.2,-0.17,1.46
Islam Slimani,Coritiba,STRIKER,-0.48,-0.91,0.9,0.27,-0.22,-0.4,0.66,0.33
Enner Valencia,Internacional,STRIKER,-0.26,-0.69,-0.17,-0.74,1.39,0.14,0.61,1.05
